cay_trong,thoi_gian,nhiet_do,do_am,do_am_dat,anh_sang,trang_thai,san_luong
Ca chua,2024-03-20 10:00:00,22.80,58.20,62.60,70.70,Binh thuong,
Ca chua,2024-03-20 11:00:00,23.00,53.50,64.90,71.20,Binh thuong,
Ca chua,2024-03-20 12:00:00,23.90,50.80,68.70,72.10,Binh thuong,
Ca chua,2024-03-20 13:00:00,23.10,55.70,63.20,71.70,Binh thuong,
Ca chua,2024-03-20 14:00:00,23.10,60.00,63.30,71.40,Binh thuong,
Ca chua,2024-03-20 15:00:00,23.90,54.80,62.60,75.10,Binh thuong,
Ca chua,2024-03-20 16:00:00,21.00,46.40,67.70,60.30,Binh thuong,
Ca chua,2024-03-20 17:00:00,21.80,54.70,67.70,70.70,Binh thuong,
Ca chua,2024-03-20 18:00:00,22.10,46.90,73.00,66.30,Binh thuong,
Ca chua,2024-03-20 19:00:00,23.20,58.70,72.40,74.40,Binh thuong,
Ca chua,2024-03-20 20:00:00,22.70,50.30,79.60,68.50,Binh thuong,
Ca chua,2024-03-20 21:00:00,22.30,47.60,62.40,74.40,Binh thuong,
Ca chua,2024-03-20 22:00:00,22.60,51.60,62.40,67.60,Binh thuong,
Ca chua,2024-03-20 23:00:00,22.80,53.30,73.20,64.50,Binh thuong,
Ca chua,2024-03-21 00:00:00,23.30,46.20,62.10,61.50,Binh thuong,
Ca chua,2024-03-21 01:00:00,21.80,59.50,70.70,79.70,Binh thuong,
Ca chua,2024-03-21 02:00:00,21.50,59.20,73.70,62.00,Binh thuong,
Ca chua,2024-03-21 03:00:00,23.60,55.00,67.00,77.80,Binh thuong,
Ca chua,2024-03-21 04:00:00,23.00,56.50,64.80,69.30,Binh thuong,
Ca chua,2024-03-21 05:00:00,21.80,58.20,64.40,61.30,Binh thuong,
Ca chua,2024-03-21 06:00:00,22.00,54.40,66.90,69.80,Binh thuong,
Ca chua,2024-03-21 07:00:00,23.10,45.50,65.40,63.70,Binh thuong,
Ca chua,2024-03-21 08:00:00,22.90,50.90,79.60,65.60,Binh thuong,
Ca chua,2024-03-21 09:00:00,23.40,59.60,75.80,60.10,Binh thuong,
Ca chua,2024-03-21 10:00:00,21.80,56.60,75.60,60.90,Binh thuong,
Ca chua,2024-03-21 11:00:00,21.20,48.50,73.50,71.10,Binh thuong,
Ca chua,2024-03-21 12:00:00,22.50,56.20,60.20,71.20,Binh thuong,
